,petal_width,petal_length,class,type,predicted
0,0.0,0.0,,boundary,Iris-setosa
1,0.0,0.07,,boundary,Iris-setosa
2,0.0,0.14,,boundary,Iris-setosa
3,0.0,0.21,,boundary,Iris-setosa
4,0.0,0.28,,boundary,Iris-setosa
5,0.0,0.35,,boundary,Iris-setosa
6,0.0,0.41,,boundary,Iris-setosa
7,0.0,0.48,,boundary,Iris-setosa
8,0.0,0.55,,boundary,Iris-setosa
9,0.0,0.62,,boundary,Iris-setosa
10,0.0,0.69,,boundary,Iris-setosa
11,0.0,0.76,,boundary,Iris-setosa
12,0.0,0.83,,boundary,Iris-setosa
13,0.0,0.9,,boundary,Iris-setosa
14,0.0,0.97,,boundary,Iris-setosa
15,0.0,1.03,,boundary,Iris-setosa
16,0.0,1.1,,boundary,Iris-setosa
17,0.0,1.17,,boundary,Iris-setosa
18,0.0,1.24,,boundary,Iris-setosa
19,0.0,1.31,,boundary,Iris-setosa
20,0.0,1.38,,boundary,Iris-setosa
21,0.0,1.45,,boundary,Iris-setosa
22,0.0,1.52,,boundary,Iris-setosa
23,0.0,1.59,,boundary,Iris-setosa
24,0.0,1.66,,boundary,Iris-setosa
25,0.0,1.72,,boundary,Iris-setosa
26,0.0,1.79,,boundary,Iris-setosa
27,0.0,1.86,,boundary,Iris-setosa
28,0.0,1.93,,boundary,Iris-setosa
29,0.0,2.0,,boundary,Iris-setosa
30,0.0,2.07,,boundary,Iris-setosa
31,0.0,2.14,,boundary,Iris-setosa
32,0.0,2.21,,boundary,Iris-setosa
33,0.0,2.28,,boundary,Iris-setosa
34,0.0,2.35,,boundary,Iris-setosa
35,0.0,2.41,,boundary,Iris-setosa
36,0.0,2.48,,boundary,Iris-setosa
37,0.0,2.55,,boundary,Iris-setosa
38,0.0,2.62,,boundary,Iris-setosa
39,0.0,2.69,,boundary,Iris-setosa
40,0.0,2.76,,boundary,Iris-setosa
41,0.0,2.83,,boundary,Iris-setosa
42,0.0,2.9,,boundary,Iris-setosa
43,0.0,2.97,,boundary,Iris-versicolor
44,0.0,3.04,,boundary,Iris-versicolor
